strategy,category,fee_eth,net_usd,cross_block,status
F14-03-sbtc-seth-susd-triangular,5 跨场所/滞后套利,,,,PASS
F14-04-atomic-oracle-update-sandwich,5 跨场所/滞后套利,0.03802742,-18.45,no,PASS
F14-05-sbtc-wbtc-balancer-flash-atomic,5 跨场所/滞后套利,,,,PASS
F14-08-sbtc-chainlink-update-presandwich,5 跨场所/滞后套利,,,,PASS
F16-02-gho-vs-crvusd-rate-arb,5 跨场所/滞后套利,0.00123521,122324.23,no,PASS
F16-03-dssflash-triangular-gho-crvusd-dai,5 跨场所/滞后套利,,,,PASS
F16-05-dssflash-susds-gho-mint-crvusd-swap,5 跨场所/滞后套利,0.00258628,25938.61,yes,PASS
F16-07-five-stable-cross-cdp-basis-scan,5 跨场所/滞后套利,0.00009056,49.69,no,PASS
F18-06-synthetix-curve-aave-susd-rotation,5 跨场所/滞后套利,0.00009865,-0.31,no,PASS
F05-01-wsteth-llamma-band-arb,6 清算收割,0.02139439,18805.91,no,PASS
F05-02-wbtc-llamma-softliq-harvest,6 清算收割,0.02196073,8019.56,no,PASS
F05-06-tbtc-crvusd-softliq-harvest,6 清算收割,0.03400202,6977.76,no,PASS
F09-09-morpho-liquidation-flash-harvest,6 清算收割,0.00344482,4646.01,no,PASS
F04-07-dssflash-lusd-liquity-redemption-curve,7 债仓赎回,0.00070620,48.91,no,PASS
F06-01-lusd-redemption-arb-flashmint,7 债仓赎回,0.04501153,-53.79,no,PASS
F06-02-stability-pool-eth-gain-loop,7 债仓赎回,0.01182108,2480.12,no,PASS
F06-03-bold-redemption-sniper-v2,7 债仓赎回,0.00076886,4998.08,no,PASS
F06-05-bold-collateral-registry-redemption-flash,7 债仓赎回,0.00106108,47.35,no,PASS
F06-06-lusd-trove-sp-convex-boost,7 债仓赎回,0.49455460,-64.88,yes,PASS
F06-08-bold-sp-mint-recycle,7 债仓赎回,0.00033140,49.17,yes,PASS
F12-01-convex-frxeth-boost-loop,8 锁仓贿赂,0.05916752,-145.25,yes,PASS
F12-02-vlcvx-votium-bribe-claim,8 锁仓贿赂,0.01784208,341.12,yes,PASS
F12-03-convex-steth-triple-reward,8 锁仓贿赂,0.07382341,-243.57,yes,PASS
F12-04-curve-gauge-weight-vote-snipe,8 锁仓贿赂,0.01555539,-1.33,yes,PASS
F12-05-aura-reth-weth-hiddenhand,8 锁仓贿赂,0.05493993,-68.69,yes,PASS
F12-06-penpie-pendle-pt-weeth-hiddenhand,8 锁仓贿赂,0.00123367,43.05,yes,PASS
F12-07-convex-frxeth-fxs-compound,8 锁仓贿赂,0.05935661,-145.88,yes,PASS
F12-08-hiddenhand-multi-protocol-bribe,8 锁仓贿赂,0.01819138,-10.03,yes,PASS
F13-03-balancer-boosted-aave-stable-lp,9 LP手续费,0.00209803,44.95,yes,PASS
F13-04-univ3-wsteth-weth-narrow-lp,9 LP手续费,0.00167297,45.97,yes,PASS
F13-05-univ3-wsteth-jit-lp-backrun,9 LP手续费,0.00194958,7.16,no,PASS
F13-08-balancer-wsteth-bpt-aura-stake,9 LP手续费,0.00784285,31.11,yes,PASS
F14-07-synthetix-v3-vault-research-probe,10 金库存款,0.00029350,49.27,no,PASS
