strategy,status,gas_used,gas_price_gwei,fee_eth,eth_price_usd,pnl_usd_pre_gas,gas_usd,net_usd,net_eth,credibility,cross_block,block_span
F07-07-pt-gho-aave-borrow-loop,PASS,50054,18.1915,0.00091056,2636.41,999208.03,2.4,999205.63,379.00262571,OVERSTATED,no,0
F07-08-pt-susds-spark-dssflash-loop,SKIP,,,,,,,,,,,
F07-09-yt-pufeth-symbiotic-stack,PASS,53518,1.2985,0.00006950,2507.37,82808.22,0.17,82808.04,33.02589726,OVERSTATED,yes,1080000
F08-01-susde-morpho-usdc-loop,PASS,51559,5.0074,0.00025818,3107.14,3246.58,0.8,3245.77,1.04461822,OVERSTATED,yes,216000
F08-02-usde-usdt-balancer-flash-curve-peg-arb,PASS,144765,3.6842,0.00053335,3256.05,1000.0,1.74,998.26,0.30658743,OVERSTATED,no,0
F08-03-pt-susde-morpho-pendle-flashloop,FAIL,,,,,,,,,,,
F08-04-susde-aave-stable-emode-loop,PASS,51577,3.6842,0.00019002,3256.05,35342.47,0.62,35341.85,10.85421545,OVERSTATED,yes,216000
F08-05-pt-susde-aave-emode-dssflash-loop,PASS,50018,3.6842,0.00018428,3256.05,40273.97,0.6,40273.37,12.36878940,OVERSTATED,yes,216000
F08-06-susde-cooldown-curve-arb,PASS,369914,11.7536,0.00434782,2562.11,763.3,11.14,752.16,0.29357056,CREDIBLE,yes,50400
F08-07-usde-morpho-collateral-susde-loop,FAIL,,,,,,,,,,,
F08-08-susde-susds-funding-rotate,FAIL,,,,,,,,,,,
F08-09-ethena-mint-curve-balancer-arb,FAIL,,,,,,,,,,,
F09-01-wsteth-morpho-flashloop-curve,PASS,448724,7.3329,0.00329043,3925.68,1962.84,12.92,1949.92,0.49670957,OVERSTATED,no,0
F09-02-susde-dai-morpho-flashloop,PASS,570909,7.3329,0.00418640,3925.68,61.19,16.43,44.76,0.01140087,OVERSTATED,yes,216000
F09-03-metamorpho-idle-vault-supply,PASS,357193,7.3329,0.00261925,3925.68,10000.0,10.28,9989.72,2.54471253,OVERSTATED,no,0
F09-04-morpho-cross-market-rate-arb,PASS,174565,7.3329,0.00128006,3925.68,1888.04,5.03,1883.02,0.47966704,OVERSTATED,yes,216000
F09-05-pt-weeth-morpho-flashloop,FAIL,,,,,,,,,,,
F09-06-rseth-morpho-flashloop-curve,PASS,666414,7.3329,0.00488672,3925.68,50.0,19.18,30.82,0.00784994,OVERSTATED,no,0
F09-07-pt-susde-pendle-hedged-morpho,FAIL,,,,,,,,,,,
F09-08-cross-metamorpho-idle-rebalance,PASS,508330,7.3329,0.00372751,3925.68,12004.99,14.63,11990.36,3.05434262,OVERSTATED,yes,216000
F09-09-morpho-liquidation-flash-harvest,PASS,469778,7.3329,0.00344482,3925.68,4659.53,13.52,4646.01,1.18349225,OVERSTATED,no,0
F10-01-gho-mint-balancer-carry,PASS,1106645,0.9762,0.00108028,2614.41,8867.63,2.82,8864.81,3.39074662,OVERSTATED,yes,648000
F10-02-emode-sdai-dai-spark-loop,PASS,2068877,20.0655,0.04151309,2562.92,9851.17,106.39,9744.78,3.80221095,CREDIBLE,yes,648000
F10-03-spark-dai-aave-rate-arb,PASS,529981,20.0655,0.01063434,2562.92,1084.64,27.26,1057.38,0.41256885,OVERSTATED,yes,648000
F10-04-gho-stkaave-discounted-mint,PASS,1407704,3.7908,0.00533635,3340.22,28839.54,17.82,28821.71,8.62868662,OVERSTATED,yes,216000
F10-05-gho-curve-convex-3mech-boost,PASS,696520,5.8869,0.00410035,2409.17,69.22,9.88,59.34,0.02463111,OVERSTATED,yes,100800
